id,category,subcategory,title,abstract,url,entities,events,content,clean_content,similarity
N64837,news,newsscienceandtechnology,Scientists and researchers reveal 13 dark technology scenarios that keep them up at night,"AI, drones, and self-driving vehicles raise many open-ended questions about the unintended consequences of technology.",https://assets.msn.com/labs/mind/AAJBDsq.html,[],[],"Scientists and researchers reveal 13 dark technology scenarios that keep them up at night AI, drones, and self-driving vehicles raise many open-ended questions about the unintended consequences of technology.",scientist researcher reveal dark technology scenario keep night ai drone self driving vehicle raise many open ended question unintended consequence technology,0.3535175952516403
N16211,news,newsscienceandtechnology,Microsoft AI helps diagnose cervical cancer faster,"In some cases, AI-assisted cancer detection might be more than a convenience -- it could be the key to getting a diagnosis in the first place. Microsoft and SRL Diagnostics have developed an AI tool that helps detect cervical cancer, freeing doctors in India and other countries where the sheer volume of patients could prove overwhelming. The team trained an AI to spot signs of the cancer by feeding it ""thousands"" of annotated cervical smear...",https://assets.msn.com/labs/mind/BBWyHwV.html,[],"[{""Label"": ""SRL Diagnostics"", ""Type"": ""O"", ""WikidataId"": ""Q30672693"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [157], ""SurfaceForms"": [""SRL Diagnostics""]}, {""Label"": ""India"", ""Type"": ""G"", ""WikidataId"": ""Q668"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [253], ""SurfaceForms"": [""India""]}, {""Label"": ""Microsoft"", ""Type"": ""O"", ""WikidataId"": ""Q2283"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [143], ""SurfaceForms"": [""Microsoft""]}]","Microsoft AI helps diagnose cervical cancer faster In some cases, AI-assisted cancer detection might be more than a convenience -- it could be the key to getting a diagnosis in the first place. Microsoft and SRL Diagnostics have developed an AI tool that helps detect cervical cancer, freeing doctors in India and other countries where the sheer volume of patients could prove overwhelming. The team trained an AI to spot signs of the cancer by feeding it ""thousands"" of annotated cervical smear...",microsoft ai help diagnose cervical cancer faster case ai assisted cancer detection might convenience could key getting diagnosis first place microsoft srl diagnostics developed ai tool help detect cervical cancer freeing doctor india country sheer volume patient could prove overwhelming team trained ai spot sign cancer feeding thousand annotated cervical smear,0.2865657509069415
N60067,lifestyle,lifestylebuzz,Register for Wednesday's Aging & Innovation Summit,"NORTHWEST AUSTIN Register for Wednesday's Aging & Innovation Summit The third annual ATX Aging and Innovation Summit will run from 9:30 a.m. to 3:30 p.m. Wednesday at the Junior League of Austin Community Impact Center, 5330 Bluffstone Lane. The summit will feature regional and national perspectives exploring themes of equity, diversity and intergenerational community engagement with a goal of ...",https://assets.msn.com/labs/mind/AAJ41zz.html,[],"[{""Label"": ""Junior League"", ""Type"": ""O"", ""WikidataId"": ""Q16237794"", ""Confidence"": 0.98, ""OccurrenceOffsets"": [171], ""SurfaceForms"": [""Junior League""]}, {""Label"": ""ATX"", ""Type"": ""U"", ""WikidataId"": ""Q300080"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [85], ""SurfaceForms"": [""ATX""]}]","Register for Wednesday's Aging & Innovation Summit NORTHWEST AUSTIN Register for Wednesday's Aging & Innovation Summit The third annual ATX Aging and Innovation Summit will run from 9:30 a.m. to 3:30 p.m. Wednesday at the Junior League of Austin Community Impact Center, 5330 Bluffstone Lane. The summit will feature regional and national perspectives exploring themes of equity, diversity and intergenerational community engagement with a goal of ...",register wednesday aging innovation summit northwest austin register wednesday aging innovation summit third annual atx aging innovation summit run p wednesday junior league austin community impact center bluffstone lane summit feature regional national perspective exploring theme equity diversity intergenerational community engagement goal,0.2614241945517321
N52751,news,newsus,Foxconn gets permit to remodel Racine building the firm says will house 'innovation center',"The City of Racine issued a permit to Foxconn Thursday for remodeling in a building the company has said will host one of its ""innovation centers.""",https://assets.msn.com/labs/mind/AAJiByf.html,"[{""Label"": ""Foxconn"", ""Type"": ""O"", ""WikidataId"": ""Q463094"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Foxconn""]}, {""Label"": ""Racine, Wisconsin"", ""Type"": ""G"", ""WikidataId"": ""Q40340"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [31], ""SurfaceForms"": [""Racine""]}]","[{""Label"": ""Foxconn"", ""Type"": ""O"", ""WikidataId"": ""Q463094"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Foxconn""]}, {""Label"": ""Racine, Wisconsin"", ""Type"": ""G"", ""WikidataId"": ""Q40340"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""Racine""]}]","Foxconn gets permit to remodel Racine building the firm says will house 'innovation center' The City of Racine issued a permit to Foxconn Thursday for remodeling in a building the company has said will host one of its ""innovation centers.""",foxconn get permit remodel racine building firm say house innovation center city racine issued permit foxconn thursday remodeling building company said host one innovation center,0.2512240228082849
N17479,news,newsscienceandtechnology,Intel unveils its first chips built for AI in the cloud,"Intel is no stranger to AI-oriented chips, but now it's turning its attention to those chips that might be thousands of miles away. The tech firm has introduced two new Nervana Neural Network Processors, the NNP-T1000 (below) and NNP-I1000 (above), that are Intel's first ASICs designed explicitly for AI in the cloud.",https://assets.msn.com/labs/mind/BBWFika.html,"[{""Label"": ""Intel"", ""Type"": ""O"", ""WikidataId"": ""Q248"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Intel""]}]","[{""Label"": ""Intel"", ""Type"": ""O"", ""WikidataId"": ""Q248"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0, 258], ""SurfaceForms"": [""Intel"", ""Intel""]}, {""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 0.927, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""AI""]}, {""Label"": ""Nervana Systems"", ""Type"": ""O"", ""WikidataId"": ""Q23924629"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [169], ""SurfaceForms"": [""Nervana""]}, {""Label"": ""Artificial neural network"", ""Type"": ""U"", ""WikidataId"": ""Q192776"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [177], ""SurfaceForms"": [""Neural Network Processors""]}]","Intel unveils its first chips built for AI in the cloud Intel is no stranger to AI-oriented chips, but now it's turning its attention to those chips that might be thousands of miles away. The tech firm has introduced two new Nervana Neural Network Processors, the NNP-T1000 (below) and NNP-I1000 (above), that are Intel's first ASICs designed explicitly for AI in the cloud.",intel unveils first chip built ai cloud intel stranger ai oriented chip turning attention chip might thousand mile away tech firm introduced two new nervana neural network processor nnp nnp intel first asics designed explicitly ai cloud,0.2426783346603039
N40467,finance,finance-real-estate,America's cheapest cities where everyone wants to live right now,"Cities like New York, San Francisco, and Washington D.C. are commonly referred to as ""superstar cities"" -- innovation hubs that are home to major companies in industries like defense, finance, and technology.",https://assets.msn.com/labs/mind/AAIT99q.html,"[{""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.901, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""America""]}]","[{""Label"": ""Washington, D.C."", ""Type"": ""G"", ""WikidataId"": ""Q61"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""Washington D.C.""]}, {""Label"": ""San Francisco"", ""Type"": ""G"", ""WikidataId"": ""Q62"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""San Francisco""]}]","America's cheapest cities where everyone wants to live right now Cities like New York, San Francisco, and Washington D.C. are commonly referred to as ""superstar cities"" -- innovation hubs that are home to major companies in industries like defense, finance, and technology.",america cheapest city everyone want live right city like new york san francisco washington c commonly referred superstar city innovation hub home major company industry like defense finance technology,0.237026459304352
N54317,lifestyle,lifestylecareer,Ask These 7 Genius Questions to Spark Innovation on Your Team,"Sometimes, all it takes is the right question to shake up your team's mindset.",https://assets.msn.com/labs/mind/BBWHLdK.html,[],[],"Ask These 7 Genius Questions to Spark Innovation on Your Team Sometimes, all it takes is the right question to shake up your team's mindset.",ask genius question spark innovation team sometimes take right question shake team mindset,0.2349251790074408
N5305,news,newsus,"Technology could end drunk driving, and the US may even mandate it",Two US senators plan to introduce legislation that would equip every new car with technology to block drivers who are over the limit.,https://assets.msn.com/labs/mind/AAISO4c.html,[],"[{""Label"": ""United States Senate"", ""Type"": ""B"", ""WikidataId"": ""Q66096"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""US senators""]}]","Technology could end drunk driving, and the US may even mandate it Two US senators plan to introduce legislation that would equip every new car with technology to block drivers who are over the limit.",technology could end drunk driving u may even mandate two u senator plan introduce legislation would equip every new car technology block driver limit,0.2185494449416344
N42560,sports,golf,Ai Suzuki has 3-stroke lead over Gaby Lopez in LPGA Japan Classic,,https://assets.msn.com/labs/mind/BBWvVkW.html,"[{""Label"": ""Gaby L\u00f3pez"", ""Type"": ""P"", ""WikidataId"": ""Q25999681"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Gaby Lopez""]}, {""Label"": ""Toto Japan Classic"", ""Type"": ""U"", ""WikidataId"": ""Q3439964"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [47], ""SurfaceForms"": [""LPGA Japan Classic""]}]",[],Ai Suzuki has 3-stroke lead over Gaby Lopez in LPGA Japan Classic ,ai suzuki stroke lead gaby lopez lpga japan classic,0.2172049255729782
N24430,news,newsscienceandtechnology,Google debuts new Pixel 4 smartphone and more,"The new phone boasts better facial recognition technology, a second camera lens, and motion-sensing technology",https://assets.msn.com/labs/mind/AAIPrAm.html,"[{""Label"": ""Google"", ""Type"": ""O"", ""WikidataId"": ""Q95"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Google""]}]",[],"Google debuts new Pixel 4 smartphone and more The new phone boasts better facial recognition technology, a second camera lens, and motion-sensing technology",google debut new pixel smartphone new phone boast better facial recognition technology second camera lens motion sensing technology,0.1923945164835112
